user_id,week,actions
0.0,19,sent_weekly_digest
0.0,20,sent_weekly_digest
0.0,21,sent_weekly_digest
0.0,22,sent_weekly_digest
0.0,23,"email_open, sent_weekly_digest"
0.0,24,"email_open, sent_weekly_digest"
0.0,25,"email_open, sent_weekly_digest"
0.0,26,sent_weekly_digest
0.0,27,sent_weekly_digest
0.0,28,sent_weekly_digest
0.0,29,sent_weekly_digest
0.0,30,sent_weekly_digest
0.0,31,"email_open, sent_weekly_digest"
0.0,32,sent_weekly_digest
0.0,33,sent_weekly_digest
0.0,34,"email_open, sent_weekly_digest"
0.0,35,sent_weekly_digest
4.0,19,sent_weekly_digest
4.0,20,"email_open, email_clickthrough, sent_weekly_digest"
4.0,21,"email_open, email_clickthrough, sent_weekly_digest"
4.0,22,sent_weekly_digest
4.0,23,sent_weekly_digest
4.0,24,sent_weekly_digest
4.0,25,sent_weekly_digest
4.0,26,"email_open, email_clickthrough, sent_weekly_digest"
4.0,27,"email_open, email_clickthrough, sent_weekly_digest"
4.0,28,sent_weekly_digest
4.0,29,sent_weekly_digest
4.0,30,sent_weekly_digest
4.0,31,sent_weekly_digest
4.0,32,sent_weekly_digest
4.0,33,"email_open, sent_weekly_digest"
4.0,34,sent_weekly_digest
4.0,35,sent_weekly_digest
8.0,19,sent_weekly_digest
8.0,20,sent_weekly_digest
8.0,21,sent_weekly_digest
8.0,22,sent_weekly_digest
8.0,23,"email_open, sent_weekly_digest"
8.0,24,sent_weekly_digest
8.0,25,sent_weekly_digest
8.0,26,sent_weekly_digest
8.0,27,sent_weekly_digest
8.0,28,"email_open, sent_weekly_digest"
8.0,29,sent_weekly_digest
8.0,30,sent_weekly_digest
8.0,31,"email_open, email_clickthrough, sent_weekly_digest"
8.0,32,sent_weekly_digest
8.0,33,sent_weekly_digest
8.0,34,sent_weekly_digest
8.0,35,sent_weekly_digest
11.0,19,sent_weekly_digest
11.0,20,sent_weekly_digest
11.0,21,sent_weekly_digest
11.0,22,sent_weekly_digest
11.0,23,sent_weekly_digest
11.0,24,"email_open, sent_weekly_digest"
11.0,25,"email_open, email_clickthrough, sent_weekly_digest"
11.0,26,sent_weekly_digest
11.0,27,sent_weekly_digest
11.0,28,"email_open, sent_weekly_digest"
11.0,29,sent_weekly_digest
11.0,30,sent_weekly_digest
11.0,31,"email_open, email_clickthrough, sent_weekly_digest"
11.0,32,sent_weekly_digest
11.0,33,sent_weekly_digest
11.0,34,sent_weekly_digest
11.0,35,"email_open, sent_weekly_digest"
17.0,19,sent_weekly_digest
17.0,20,sent_weekly_digest
17.0,21,"email_open, sent_weekly_digest"
17.0,22,sent_weekly_digest
17.0,23,sent_weekly_digest
17.0,24,sent_weekly_digest
17.0,25,sent_weekly_digest
17.0,26,sent_weekly_digest
17.0,27,sent_weekly_digest
17.0,28,sent_weekly_digest
17.0,29,sent_weekly_digest
17.0,30,sent_weekly_digest
17.0,31,"email_open, email_clickthrough, sent_weekly_digest"
17.0,32,"email_open, sent_weekly_digest"
17.0,33,sent_weekly_digest
17.0,34,"email_open, sent_weekly_digest"
17.0,35,sent_weekly_digest
19.0,19,sent_weekly_digest
19.0,20,sent_weekly_digest
19.0,21,sent_weekly_digest
19.0,22,sent_weekly_digest
19.0,23,"email_open, email_clickthrough, sent_weekly_digest"
19.0,24,sent_weekly_digest
19.0,25,sent_weekly_digest
19.0,26,sent_weekly_digest
19.0,27,"email_open, sent_weekly_digest"
19.0,28,sent_weekly_digest
19.0,29,sent_weekly_digest
19.0,30,sent_weekly_digest
19.0,31,sent_weekly_digest
19.0,32,"email_open, sent_weekly_digest"
19.0,33,"email_open, sent_weekly_digest"
19.0,34,sent_weekly_digest
19.0,35,"email_open, sent_weekly_digest"
20.0,19,sent_weekly_digest
20.0,20,sent_weekly_digest
20.0,21,sent_weekly_digest
20.0,22,sent_weekly_digest
20.0,23,sent_weekly_digest
20.0,24,"email_open, sent_weekly_digest"
20.0,25,"email_open, email_clickthrough, sent_weekly_digest"
20.0,26,"email_open, sent_weekly_digest"
20.0,27,sent_weekly_digest
20.0,28,"email_open, email_clickthrough, sent_weekly_digest"
20.0,29,sent_weekly_digest
20.0,30,"email_open, sent_weekly_digest"
20.0,31,"email_open, sent_weekly_digest"
20.0,32,sent_weekly_digest
20.0,33,sent_weekly_digest
20.0,34,"email_open, email_clickthrough, sent_weekly_digest"
20.0,35,"email_open, sent_weekly_digest"
22.0,19,"email_open, email_clickthrough, sent_weekly_digest"
22.0,20,sent_weekly_digest
22.0,21,"email_open, email_clickthrough, sent_weekly_digest"
22.0,22,"email_open, sent_weekly_digest"
22.0,23,"email_open, sent_weekly_digest"
22.0,24,"email_open, email_clickthrough, sent_weekly_digest"
22.0,25,sent_weekly_digest
22.0,26,sent_weekly_digest
22.0,27,sent_weekly_digest
22.0,28,sent_weekly_digest
22.0,29,sent_weekly_digest
22.0,30,sent_weekly_digest
22.0,31,sent_weekly_digest
